"1362691","26150","1968-10-21","2006-01-05","1","M","2","","Donald","Marek","8298","Second","89194","Las Vegas","NV","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1362487","6605","1943-11-11","2010-06-10","0","M","2","","ChingDyi","Moussavi","10603","Daffodil","90159","Los Angeles","CA","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1363160","18548","1976-01-22","2003-08-17","0","F","1","","Rosa","Johnston","8817","Figueroa","90024","Los Angeles","CA","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1362752","47668","1960-02-28","2008-04-04","0","F","1","","Lisa","Martin","6","Cherry","60637","Chicago","IL","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1362548","44554","1955-08-14","2002-05-05","2","F","4","","Barbara","OMalley","6578","C","10138","New York City","NY","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1362813","15684","1961-03-29","2008-06-06","2","F","2","","Terry","Eubanks","6999","Begonia","60654","Chicago","IL","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1363017","0","1998-07-11","2010-07-07","0","M","1","","Tim","McMillen","10274","Mission Gorge","90095","Los Angeles","CA","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1362609","1929","1935-06-11","2003-08-08","0","F","2","","Sandy","Rayhanian","6168","Camellia","96846","Honolulu","HI","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1363486","39942","1900-01-01","2010-09-09","5","F","4","","Jill","Campbell","3830","Tenth","96802","Honolulu","HI","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1363078","9622","1968-10-20","2005-10-10","1","M","2","Mr.","Christopher","McVicker","14382","Peach","96822","Honolulu","HI","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1363282","25829","1900-01-01","2003-11-11","0","F","1","Ms.","Betty","Gausman","3278","Capital","20129","Washington","DC","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1363343","0","1999-06-24","2011-12-12","0","M","1","","Robin","Shin","1168","Cactus","77061","Houston","TX","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1362527","17622","1970-09-23","2010-01-13","0","M","2","","Chuck","Flynn","1735","B","94145","San Francisco","CA","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1362670","8877","1988-03-26","2006-02-14","0","F","1","","Lynn","Wolf","18743","First","90025","Los Angeles","CA","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
"1362996","23351","1963-05-15","2010-03-15","2","F","2","Mrs.","Robin","Johnson","5364","Capital","19136","Philadelphia","PA","2011-11-12 00:00:00.000000","","2011-11-12","",,1,1,"LD_001_01_CUSTOMER",6,"",
